Date,FN
4 April 2020 09:00 GMT+5:30,Including 57 foreign Nationals
"4 April 2020 09:00 GMT+5:30","Including 57 foreign Nationals"
"4 April 2020 09:00 GMT+5:30","Including 57 foreign Nationals"
"4 April 2020 09:00 GMT+5:30","Including 57 foreign Nationals"
"4 April 2020 18:00 GMT+5:30","Including 65 foreign Nationals"
"4 April 2020 18:00 GMT+5:30","Including 65 foreign Nationals"
"5 April 2020 09:00 GMT+5:30","Including 65 foreign Nationals"
"5 April 2020 09:00 GMT+5:30","Including 65 foreign Nationals"
"5 April 2020 18:00 GMT+5:30","Including 65 foreign Nationals"
"6 April 2020 09:00 GMT+5:30","Including 66 foreign Nationals"
"7 April 2020 09:00 GMT+5:30","Including 66 foreign Nationals"
"8 April 2020 17:00 GMT+5:30","Including 71 foreign Nationals"
"9 April 2020 17:00 GMT+5:30","Including 71 foreign Nationals"
"0 April 2020 17:00 GMT+5:30","Including 71 foreign Nationals"
"1 April 2020 08:00 GMT+5:30","Including 71 foreign Nationals"
"1 April 2020 17:00 GMT+5:30","Including 71 foreign Nationals"
"1 April 2020 17:00 GMT+5:30","Including 71 foreign Nationals"
"1 April 2020 17:00 GMT+5:30","Including 71 foreign Nationals"
"1 April 2020 17:00 GMT+5:30","Including 71 foreign Nationals"
"1 April 2020 17:00 GMT+5:30","Including 71 foreign Nationals"
"1 April 2020 17:00 GMT+5:30","Including 71 foreign Nationals"
"2 April 2020 08:00 GMT+5:30","Including 71 foreign Nationals"
"2 April 2020 17:00 GMT+5:30","Including 71 foreign Nationals"
"2 April 2020 17:00 GMT+5:30","Including 71 foreign Nationals"
"3 April 2020 08:00 GMT+5:30","Including 72 foreign Nationals"
"4 April 2020 08:00 GMT+5:30","Including 76 foreign Nationals"
"5 April 2020 08:00 GMT+5:30","Including 76 foreign Nationals"
